	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122
0	0.0	53.763035	54.83646	90.764656	54.461	58.22543	93.40589	309.8759	214.69861	296.44943	140.46529	160.17058	241.97403	164.70732	195.7588	243.8203	219.25064	200.1182	211.25407	163.55635	213.02548	158.5578	255.65608	207.31232	219.06732	206.72784	210.39223	291.18024	226.21945	206.32877	181.88962	266.3746	273.01028	150.955	283.7704	259.64432	279.77432	195.20496	226.14687	163.98543	278.811	175.93062	250.22548	236.7373	230.07031	175.30615	285.94727	174.2668	203.73982	317.58823	127.95239	320.93182	114.91945	148.89285	118.71286	248.86945	79.953224	119.15068	155.12088	200.34619	208.0546	121.81997	279.96332	163.43274	162.79497	85.778206	159.7973	224.3691	294.76697	207.4833	262.76907	243.89001	306.8158	159.45634	184.48608	66.151726	94.38763	251.59354	112.4586	214.75534	307.34283	273.3764	190.62852	146.17195	242.16443	283.40863	245.84137	222.51059	214.64137	244.73192	184.61336	214.52502	307.51016	195.0889	151.69528	268.92712	330.6537	110.41909	278.092	197.29689	127.1985	105.24045	275.6801	448.30664	309.42346	203.13936	247.14175	165.29836	280.3762	72.477715	290.68872	224.62834	207.26268	254.71169	141.03645	256.5901	321.84747	100.932724	249.51614	147.44168	209.08455	279.1559	132.62604
1	53.763035	0.0	48.87168	81.24934	82.161545	54.91203	54.72505	257.48303	194.90231	248.35397	92.51828	128.77336	203.99869	149.01941	154.45692	213.38426	180.86938	171.57597	205.42256	138.78311	197.26189	148.23352	211.01422	178.9845	178.84344	157.83405	167.89977	251.4072	177.71521	175.76572	155.24493	231.05713	228.37137	149.40816	247.95361	209.61865	234.46521	155.9082	181.93306	126.09335	229.10666	128.02676	209.28394	201.20532	199.42754	147.74104	262.1002	149.76802	152.42021	286.7167	109.20455	274.1278	95.14769	157.01892	113.95157	237.37811	88.69971	138.26054	101.65342	182.5557	162.30894	92.33535	246.05598	143.53069	122.2101	71.42111	132.1999	178.34055	243.9345	198.46155	236.78105	229.9604	270.959	129.12552	140.0978	103.72221	119.46866	229.70036	86.722565	183.37857	266.71313	254.67896	150.13196	161.25685	224.73105	241.60287	218.2296	204.68938	181.99883	197.3573	180.23067	179.52223	272.19894	188.9972	132.31291	216.41692	289.75745	64.10659	224.49174	146.96617	134.6111	109.63508	224.20296	394.63663	262.30646	165.21375	272.3856	119.04298	233.27501	78.12077	253.3099	172.77904	170.998	215.659	98.88873	211.17145	280.25137	137.83778	204.02286	136.8934	155.4214	248.80745	86.29194
2	54.83646	48.87168	0.0	50.9144	51.592823	60.287647	61.003754	281.6063	173.02232	252.08607	116.23845	117.02805	205.7	120.11506	159.13759	199.38127	172.56049	149.85248	177.49141	135.84033	184.40172	128.50774	212.12329	170.75342	167.332	163.2632	178.80962	241.3029	188.22656	152.7541	133.81818	212.65512	223.76707	191.73363	238.28214	217.27003	235.6981	152.44467	179.27682	113.32446	243.31024	135.0491	210.22264	187.04082	187.23067	144.62341	252.72762	187.70319	188.41014	274.7885	140.15627	298.49945	136.76413	162.90565	102.928856	198.48058	58.789173	105.10862	132.82327	208.04794	198.8738	111.622604	277.36658	159.87708	158.23438	115.18863	180.95276	222.3146	278.05936	160.48311	209.87926	244.88121	292.855	161.95898	173.36458	107.536476	132.80792	263.65973	59.09812	197.21635	272.29797	226.00275	171.86957	134.02028	228.10228	280.29437	239.3845	168.88383	211.38673	214.21883	177.8948	218.36905	271.3056	223.46208	176.88428	233.96002	305.4607	108.480156	249.87402	170.87541	89.4296	62.295536	260.0271	420.31558	278.4314	210.91064	290.4319	163.32065	274.58243	89.69469	239.86594	206.79324	217.49518	233.95062	142.88452	241.16377	279.14386	104.58575	240.65128	95.49132	180.67877	255.24611	103.336
3	90.764656	81.24934	50.9144	0.0	57.049248	59.478146	52.70324	290.61682	194.47884	251.31198	106.77242	139.59465	228.43645	140.266	181.14474	215.34846	182.36023	157.4993	204.67831	172.7749	218.98378	164.29175	220.12059	198.12167	154.98404	161.14166	149.78781	212.42502	168.3764	126.82673	93.878815	190.91978	207.03511	220.82964	200.0652	204.62495	209.48369	120.1853	157.37785	94.308334	223.3253	120.88591	176.43304	154.29324	144.54172	101.928055	281.09344	228.6967	190.73816	290.7937	185.48161	320.43256	146.04137	213.70746	62.108654	191.3781	102.83237	73.83357	145.77429	254.2447	225.23657	154.5254	314.36777	205.66808	192.02339	149.9411	203.23865	235.03563	292.11716	166.27295	205.95589	291.8273	327.4094	150.87682	163.89726	117.46895	180.10664	306.55048	69.899666	234.87138	292.87338	234.42432	204.53477	173.4991	270.3328	308.2667	280.6853	150.84369	250.37543	233.36633	224.56096	253.56569	293.73434	268.53928	213.00764	237.32784	332.14615	136.38994	246.58405	189.53375	63.080017	74.46696	262.41937	418.9178	296.0635	218.21085	336.45065	183.82176	291.31857	139.94061	238.65926	220.51988	244.59662	265.27023	150.7594	267.41162	290.1846	137.22276	233.54192	80.52921	185.88092	289.1225	130.02391
4	54.461	82.161545	51.592823	57.049248	0.0	54.941364	89.44802	328.75333	214.9358	298.2375	144.93137	165.9443	256.54648	159.47197	210.48561	245.50192	220.22668	192.3359	211.31863	183.95105	227.31322	168.8991	260.93146	219.01369	206.20801	207.92273	199.32687	269.15256	220.30365	180.04724	149.63545	244.01622	261.13107	198.99042	256.30972	256.459	265.46777	176.03186	212.69244	147.84274	274.74753	171.26157	231.43463	211.03093	199.30975	149.42169	298.61502	223.5629	222.94899	320.91257	176.23532	348.6077	143.26955	189.90724	84.7216	221.06342	88.92514	65.85881	175.8754	246.90129	243.50507	157.68953	322.44128	202.79439	202.12071	135.4196	201.70866	255.68512	322.31757	187.84012	245.18617	284.97726	342.0054	168.94308	195.13226	74.44117	143.44739	301.13367	102.86384	246.18951	323.45618	261.6924	221.69739	155.08519	272.07248	323.40463	285.26065	191.39212	256.38397	265.09583	214.86264	259.1579	321.22256	248.94447	202.59958	280.2274	356.8284	146.18274	289.66055	219.76611	79.050705	80.18266	296.444	462.64056	329.4507	232.34062	294.36163	199.74138	313.8649	117.812614	282.70804	250.3031	250.6825	284.54135	166.75143	289.38794	328.27994	98.604836	264.65823	115.17015	224.31557	304.63794	153.75626
5	58.22543	54.91203	60.287647	59.478146	54.941364	0.0	56.18402	295.29193	230.11995	279.08057	100.42467	167.56746	249.71712	178.05946	199.45117	250.53549	215.76378	199.65442	237.70384	186.88264	241.06255	187.08923	247.63226	222.95796	196.25717	185.32724	160.57512	253.76105	185.95795	178.34207	142.79329	239.60893	243.6568	165.99106	237.88866	228.20528	238.76224	150.84058	190.67563	135.04823	237.3469	141.52657	202.2208	198.29126	182.1414	120.502625	307.06577	199.06523	175.61272	325.76987	160.5107	321.70972	92.75924	200.24036	65.98555	246.88884	114.97276	95.79755	138.75807	235.41255	209.5013	146.77135	298.96637	197.2986	173.74905	104.78214	156.51808	207.49289	282.75278	215.39041	256.54898	283.01602	324.7775	114.5697	142.96387	70.73343	148.90254	280.40457	107.466064	237.21059	312.89212	280.92352	202.92938	189.14029	276.4335	288.1177	273.13638	208.44121	235.98163	243.0046	227.40121	229.06258	317.9513	231.67088	170.79895	249.84352	340.4151	109.87918	249.0599	191.37656	113.95404	114.75772	249.33458	422.7979	307.57684	179.48271	298.3513	156.76462	269.8464	120.16665	280.66562	210.95625	209.67238	268.15488	115.05702	260.23666	319.55057	144.47122	211.86891	136.99776	187.84294	300.696	134.09724
6	93.40589	54.72505	61.003754	52.70324	89.44802	56.18402	0.0	246.44998	196.20096	223.58157	57.733356	128.27174	205.444	148.75014	154.54353	207.33987	166.67686	156.85902	215.86267	158.20026	214.53491	166.231	195.03265	185.84648	142.78485	129.6961	119.66469	203.28761	134.52937	132.66168	104.667404	189.6082	188.51598	190.51073	194.65787	172.92827	187.31664	103.317696	136.70497	83.19152	188.14879	86.35354	157.49178	151.00438	144.93372	95.39064	271.56088	191.2514	138.87341	281.3786	155.96753	278.51556	110.89034	205.20804	80.70329	216.25208	115.129364	121.2451	96.21468	225.04378	177.92229	127.43657	273.9993	181.74654	149.5329	118.919075	159.30629	182.52148	242.40002	188.28867	213.13394	269.4006	291.64807	113.19206	116.726654	126.40084	173.13396	269.92957	72.890785	206.91083	266.22235	244.17085	168.51335	189.4005	253.9521	260.19354	249.36316	173.1675	212.94653	196.10085	216.71591	209.92285	273.82086	238.7926	175.04782	197.0989	298.29144	91.49258	200.82405	146.53792	114.044205	107.89277	211.31355	374.39322	259.46442	169.14941	326.92987	133.1595	239.28297	129.03188	229.24673	170.48401	196.36002	230.91385	101.48282	223.11368	268.47836	165.36166	185.22888	112.29354	139.07837	265.757	94.68903
7	309.8759	257.48303	281.6063	290.61682	328.75333	295.29193	246.44998	0.0	253.94547	116.051056	207.00699	211.69232	160.9771	262.98648	157.80069	213.10217	177.9479	227.27216	304.3321	221.80435	259.88712	268.76877	132.7504	210.84154	193.5125	142.85631	216.39981	228.22023	168.97543	246.64102	267.59888	233.58917	174.88202	314.31622	262.46277	133.80959	192.17215	223.98552	187.17862	218.96349	159.57695	181.78271	225.47073	239.59712	271.91708	274.95554	248.00946	227.61406	147.49416	231.12517	242.89455	85.12303	276.27728	311.7135	317.26266	323.4824	296.15787	363.67267	157.91756	245.70612	133.37581	218.97423	185.47282	232.91415	176.16461	267.83032	245.22902	160.71962	68.81324	305.62903	260.81595	271.05988	173.4728	262.1949	206.55212	355.9995	330.03943	247.02353	248.23466	187.4019	146.7383	289.46436	155.4952	335.31622	254.98346	146.37823	207.89853	294.217	185.31447	94.16282	287.01813	184.0422	187.73708	296.3568	253.8616	62.318172	143.72868	208.81285	86.61928	115.528206	334.82632	306.89993	115.5312	154.47565	82.175804	220.16983	440.31094	174.69727	127.97934	284.6148	201.14175	98.45487	197.43748	143.5877	217.62628	104.56791	158.1544	364.8052	192.15747	292.47736	108.84583	201.40295	184.2118
8	214.69861	194.90231	173.02232	194.47884	214.9358	230.11995	196.20096	253.94547	0.0	186.42485	222.46315	74.101105	102.007904	56.504845	104.5172	54.06913	86.90668	62.299862	56.436783	85.29954	62.53105	69.34165	132.81505	53.474533	144.02989	159.16727	261.9616	234.2649	232.47577	161.56908	198.97104	176.04663	195.56882	320.37054	269.9659	215.04185	251.1053	217.59705	197.30727	158.49992	276.33246	189.97998	263.49982	209.26103	250.74605	257.44858	96.89736	238.14864	258.8001	114.72109	200.53954	245.4213	285.24872	189.26201	255.16173	121.545975	141.54358	246.95738	194.8532	214.31696	223.4267	149.84998	257.01093	158.32585	198.8718	241.09384	294.54956	293.07574	282.35983	80.5846	102.32589	204.87245	228.04787	301.25775	280.57977	277.27478	231.99762	276.40515	127.23748	142.13055	158.59598	74.85496	155.35474	131.67157	142.35585	289.14075	197.9467	137.51314	206.85287	166.16685	136.78305	247.54669	134.40503	283.5294	269.46814	211.87224	214.16411	206.37206	268.58063	173.82835	190.60721	142.62033	304.3474	398.1756	205.00418	318.85403	362.1577	241.06003	309.30707	183.17686	130.45361	234.75192	286.68097	172.2884	261.3493	223.2851	158.13934	188.84062	329.37122	139.40872	207.89902	146.70699	142.37575
9	296.44943	248.35397	252.08607	251.31198	298.2375	279.08057	223.58157	116.051056	186.42485	0.0	200.75125	162.66841	122.601395	200.51987	125.928566	138.28537	104.14242	149.1188	242.61153	194.28079	217.63846	225.16125	58.040108	163.70926	109.12914	94.04116	195.25507	141.97697	140.4316	164.64182	203.32748	131.8401	83.20942	354.28073	193.11914	84.40654	134.491	175.52147	123.15955	161.17427	145.78038	147.66414	179.97478	162.53345	211.2635	239.71422	200.15631	272.0624	188.1782	156.00433	263.60153	160.62749	296.85196	311.34567	286.6808	227.09885	262.65176	319.84995	169.85126	278.09732	192.03891	219.19882	252.46509	241.45601	210.7621	286.96497	292.9161	231.19089	176.10416	223.64372	157.94913	291.13382	221.24165	278.17484	227.80684	346.914	334.35242	306.46173	201.06195	195.01584	121.951454	197.21811	172.44955	295.5783	248.15291	239.06232	240.69446	201.46042	229.1449	106.356094	272.95197	246.2624	146.20297	341.05396	298.01282	73.748436	172.99614	225.32242	132.55928	133.521	277.33893	254.92986	192.62117	223.85901	110.49572	274.9089	467.76724	218.74956	226.75842	279.9519	91.75924	160.05621	266.1167	169.57248	244.49599	174.0807	88.409035	328.5284	241.42084	224.89018	128.43597	195.77763	172.90233
