	mean	iqr	cilo	cihi	whishi	whislo	fliers	q1	med	q3
0	25.633303165435795	0.6841182708739488	25.389772534370472	25.926805377006524	26.7397537231445	24.8225784301758	[]	25.326373577117952	25.658288955688498	26.0104918479919
1	23.799378871917725	0.702621459960973	23.46395191192627	24.015509757995634	24.7977066040039	22.9470310211182	[]	23.45972967147825	23.73973083496095	24.162351131439223
2	25.553229212760925	0.15418767929082833	25.457340794801702	25.578378123045	25.7711486816406	25.3315563201904	[25.86029816]	25.4722862243652	25.51785945892335	25.626473903656027
3	28.941703677177436	0.434740066528299	28.810319647789044	29.151590600013755	29.6257858276367	28.2276515960693	[]	28.705359458923326	28.9809551239014	29.140099525451625
4	27.03144085407257	0.6027650833130238	26.838817918300585	27.31198850870131	27.9642791748047	26.2453575134277	[]	26.726675033569325	27.075403213500948	27.32944011688235
5	26.9781664609909	0.08454513549805043	27.000368204116814	27.06673613548278	27.1422481536865	26.8664836883545	[26.54868507 26.54868507]	26.987064838409424	27.033552169799798	27.071609973907474
6	26.355749130249027	0.09974908828737483	26.298930796384802	26.377233830690393	26.4688014984131	26.1507873535156	[26.65441704 26.64535332]	26.279400348663327	26.338082313537598	26.3791494369507
7	24.96015095710755	0.7600173950194709	24.75667058944701	25.353284244537296	25.5394992828369	24.0154132843018	[]	24.604628086090127	25.054977416992152	25.364645481109598
8	19.65649473667143	0.6263513565063192	19.948703792095166	20.44038960695263	20.6744213104248	19.6768054962158	[16.3377552  15.23928833]	19.787841320037828	20.194546699523897	20.414192676544147
9	19.526010274887074	0.9622802734375249	19.038446502685524	19.79383651733398	20.4665775299072	17.8214931488037	[]	19.13455247879025	19.41614151000975	20.096832752227776
10	20.25524353981018	0.766443729400649	20.011715658903146	20.613373986482653	21.1544647216797	18.8246059417725	[]	19.866576671600328	20.3125448226929	20.633020401000977
11	20.04149568080902	0.8981761932373047	19.626613755226106	20.33168206691739	21.0154418945313	18.9903659820557	[]	19.577820301055898	19.97914791107175	20.475996494293202
12	20.277323722839334	0.6817708015441966	20.202929748296704	20.738119827508896	20.9638175964355	19.6492252349854	[18.99355125 18.93845558]	20.034711837768526	20.4705247879028	20.716482639312723
13	21.360611319541924	0.1298303604126012	21.299337604045853	21.401254436969744	21.5129699707031	21.2422561645508	[21.02983284 21.64983177]	21.3089051246643	21.3502960205078	21.4387354850769
14	20.354619979858395	1.2630553245544753	19.84365775227547	20.83515618205073	21.3763694763184	19.0559558868408	[]	19.838737964630102	20.3394069671631	21.101793289184577
15	34.92029023170474	0.0	34.7882347106934	34.7882347106934	34.7882347106934	34.7882347106934	[34.04190826 35.7413063  35.7413063  35.7413063 ]	34.7882347106934	34.7882347106934	34.7882347106934
16	22.1791306734085	0.7971172332763743	22.01418550968167	22.639922537803624	22.8399124145508	20.9931144714355	[]	21.839953422546376	22.327054023742647	22.63707065582275
17	28.201664566993706	0.09399986267089844	28.150729031562822	28.22451892375948	28.3716411590576	28.0536670684814	[]	28.1602783203125	28.18762397766115	28.2542781829834
18	30.87128221988678	0.10551643371585229	30.845629706382727	30.928460106849673	31.0094223022461	30.6859302520752	[]	30.833239078521725	30.8870449066162	30.938755512237577
19	25.797342538833625	0.17083072662347476	25.791511409282688	25.925613529682114	26.0306835174561	25.669771194458	[25.38708878 25.30396271]	25.752471446991	25.8585624694824	25.923302173614474
20	23.473993778228774	0.3391489982605016	23.4021299135685	23.668361877202997	23.8531837463379	23.0095901489258	[]	23.28676223754885	23.53524589538575	23.62591123580935
21	26.983754873275757	0.5224504470825728	26.84656917333599	27.25669277429581	27.5536651611328	26.1838912963867	[]	26.71884965896605	27.0516309738159	27.241300106048623
22	26.83986270427703	0.6237659454345774	26.72660073757168	27.21625700473782	27.5731868743896	26.1682052612305	[25.12949562]	26.5965795516968	26.97142887115475	27.220345497131376
23	29.387278795242317	0.17344856262202768	29.367651419639603	29.503808541297897	29.5242729187012	29.1279277801514	[]	29.301864624023473	29.43572998046875	29.4753131866455
24	24.712997078895583	0.762664794921875	24.615413703918463	25.214105567932137	25.4331340789795	23.8180980682373	[]	24.284025192260774	24.9147596359253	25.04668998718265
25	27.26848816871643	0.18240070343020065	27.203917558193197	27.347102110385904	27.477466583252	27.0587368011475	[]	27.168944358825648	27.27550983428955	27.35134506225585
26	22.933713793754578	0.35619640350344994	22.786218302249896	23.065832479000104	23.3851566314697	22.5155448913574	[22.05787277 23.8334713 ]	22.749308586120602	22.926025390625	23.105504989624052
27	28.15921294689179	0.07101869583132725	28.143308748006802	28.199058424234394	28.2276515960693	28.0409278869629	[]	28.133115291595473	28.1711835861206	28.2041339874268
28	26.59971451759339	0.232946395874027	26.521920361518895	26.704783282280005	26.8865127563477	26.2926864624023	[]	26.476136684417725	26.61335182189945	26.70908308029175
29	24.299377560615547	0.14550495147710052	24.220037553310387	24.334258940219915	24.5569305419922	24.0867652893066	[]	24.22590780258175	24.27714824676515	24.371412754058852
30	22.81226539611818	0.771328449249328	22.664098142385487	23.26959097504621	23.6496505737305	21.7371253967285	[]	22.439661026000948	22.96684455871585	23.210989475250276
31	25.50921976566314	0.08624887466429954	25.47639168620111	25.54409705281259	25.6657543182373	25.3640098571777	[]	25.459961891174302	25.51024436950685	25.5462107658386
32	22.701516270637512	1.0308427810669016	22.27590759038924	23.08511917352676	23.6413040161133	21.7792110443115	[]	22.1447443962097	22.680513381958	23.1755871772766
33	32.407794475555406	0.17998695373533025	32.364520525932285	32.50581028461452	32.7085723876953	32.1381759643555	[]	32.33037376403807	32.4351654052734	32.5103607177734
