	true_labels	predict_labels_100	predicted_labels_75	predicted_labels_50
0	onset	onset	onset	onset
1	local	local	local	local
2	local	onset	onset	onset
3	local	local	local	local
4	onset	onset	onset	onset
5	onset	onset	onset	onset
6	onset	onset	onset	onset
7	local	onset	local	onset
8	onset	onset	onset	onset
9	local	onset	onset	onset
