	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122
0	0.0	182.90628	49.590176	224.99126	52.285446	79.23032	55.61417	201.30756	178.40468	103.14726	171.80824	165.2787	175.23065	141.3177	126.8652	207.00134	154.31111	123.39904	115.18794	210.05276	213.01433	157.07625	136.34123	170.71701	204.36664	132.09659	202.54944	184.0155	192.66176	201.55887	114.44563	239.27292	286.27475	188.24547	192.539	231.1831	181.98097	78.05385	169.72002	134.5397	245.98238	145.19633	207.32034	136.02026	153.02193	225.03357	216.45837	176.08119	256.97763	156.00044	85.05406	247.79298	180.57883	200.75801	70.35383	152.16246	148.76448	91.8133	192.2437	170.24754	159.93536	245.00887	221.4159	241.4787	108.166016	117.148285	238.86569	240.10783	177.94884	201.39902	176.98921	308.1815	130.2527	278.38644	203.77315	115.441025	290.3494	258.67316	106.06354	110.61998	145.35893	127.37592	204.84636	221.81017	284.02737	275.02267	156.90346	202.61913	249.17694	141.88365	242.50056	127.18867	269.77594	250.18494	207.71379	190.3929	254.89975	132.44685	238.15175	96.91045	89.54172	170.93124	71.00288	106.61652	233.76938	115.554985	62.053036	199.07758	262.60617	213.70857	156.89655	149.8137	97.88351	200.00688	234.1906	73.269615	279.4297	80.790634	212.05869	118.2605	198.43443	158.56435	172.78902
1	182.90628	0.0	184.27852	173.48022	195.6881	173.1496	221.93173	154.63168	213.12262	176.08743	215.90254	237.04732	139.22118	189.65977	245.4539	232.4852	180.97165	210.19441	143.26894	260.03592	213.60207	291.87326	210.57108	167.65839	220.48582	296.6878	345.69058	334.8668	309.4776	129.39775	260.58868	357.13486	191.95215	274.00558	317.71814	354.78836	297.7453	123.76035	294.14752	243.49257	336.72818	287.2051	292.0504	85.89859	318.21155	323.20236	245.20416	221.17065	242.55194	103.64139	256.7938	241.44862	169.83574	189.64046	249.53084	207.7384	110.438324	239.57306	179.93806	111.78718	170.4154	251.77464	142.80276	101.27774	180.10272	138.79823	273.89743	132.32274	70.226204	223.15395	102.385056	237.47722	132.72568	240.36748	81.39241	291.04062	151.52478	202.67044	215.56682	83.88907	175.00845	128.97798	68.32737	144.88927	189.71461	322.75095	240.53241	283.87286	131.89034	71.55298	170.75545	220.22151	250.74089	297.21686	330.3721	69.63486	202.7947	170.1434	78.29287	214.18977	241.87491	111.36853	153.61536	207.94296	183.40611	76.840706	131.74722	167.27429	216.83788	86.674904	282.21375	302.81885	213.92749	280.0127	222.42879	206.05391	310.01544	156.1011	95.21766	160.63205	273.95282	258.09918	218.4074
2	49.590176	184.27852	0.0	186.73392	60.24524	54.437073	88.970146	215.22263	205.75494	127.46334	175.27617	184.36505	142.76733	132.73431	154.33478	224.46826	170.6204	132.95694	119.95817	219.09326	219.55605	119.62122	170.92346	171.85945	159.99785	156.39449	196.08662	194.57732	182.3849	230.44394	121.44352	221.28586	290.26672	184.55672	209.97374	230.23805	157.5343	62.34551	172.8287	121.39395	236.77211	133.96928	187.563	120.539665	154.50534	236.37845	198.40799	146.48091	229.07	172.96004	123.509094	275.66312	146.76965	158.17975	76.39022	110.01834	178.77048	67.70082	171.73576	161.80728	133.93417	239.63104	218.02554	242.85902	76.009926	115.09751	205.05292	253.0404	182.96846	241.52072	152.14467	296.713	161.3804	237.52122	193.17421	117.735	272.686	230.86081	57.987144	123.06026	187.55235	103.53658	217.28664	197.3532	255.72739	278.82193	110.720634	233.93886	237.67264	132.94652	228.7449	106.76907	253.2548	205.11583	173.09299	207.81519	248.91774	169.87521	226.29216	141.41655	64.23654	192.16235	95.31184	155.7782	197.02505	128.00488	87.717445	227.73154	276.82358	194.33714	197.17557	125.23792	107.146095	151.47386	195.24095	118.12495	261.83292	123.13465	196.28317	75.5976	160.64113	116.47244	124.096664
3	224.99126	173.48022	186.73392	0.0	226.80434	179.4868	263.1781	269.59445	318.9081	257.55258	266.13293	308.85782	64.009834	216.23209	311.04236	320.28952	268.5639	259.78275	210.60431	317.4343	285.2891	223.79178	309.56946	232.20602	86.29084	336.0278	334.75507	356.16046	300.78647	294.5632	282.65027	322.95218	289.71915	290.7588	362.61508	360.0674	259.88873	152.45514	312.9174	242.72821	332.01212	276.52417	267.7876	119.985664	319.36383	365.67746	237.7862	185.6617	200.13567	235.2984	308.3436	367.30957	117.420334	69.641075	259.92056	143.44821	257.91174	216.10579	179.06784	173.26602	128.34439	284.62247	218.64082	221.05763	148.96153	176.53622	207.9936	272.45923	186.79132	361.05798	91.33682	267.2655	263.09372	114.90777	153.73544	287.35046	170.07198	161.68414	167.70442	189.58472	309.67236	135.70152	232.2861	128.06703	139.41412	363.88815	150.309	375.46967	185.48721	145.30457	200.8382	192.6783	251.9854	181.2872	257.9295	235.28177	253.30704	283.18884	147.66142	296.65277	224.08119	243.49904	220.0026	311.1828	81.46143	194.76637	214.41734	309.98694	326.00186	97.57309	366.69836	261.9242	237.41907	166.23859	127.8445	284.7289	294.41684	258.2866	116.472885	112.20517	202.90169	189.2437	109.934555
4	52.285446	195.6881	60.24524	226.80434	0.0	50.850716	99.411896	180.83548	153.98409	78.14299	127.17566	126.474915	188.72469	97.10411	95.03593	171.9141	123.58884	77.72611	88.09319	165.17375	175.08252	152.18669	118.651505	136.45673	213.0147	112.2102	160.28003	147.41241	142.92693	211.36253	71.30101	192.45612	263.32132	136.35973	152.82266	183.81242	137.2518	96.053665	121.72635	83.379135	194.07832	102.21029	156.7211	154.78044	122.76956	179.11024	169.42867	134.55466	218.45744	150.33435	99.64143	227.28047	156.54199	187.91237	70.06304	124.932625	176.25023	112.917046	157.0323	150.8019	189.9555	199.87566	197.85388	233.7778	135.29936	158.52112	197.11769	230.92328	207.9738	199.15338	172.72476	274.4764	133.60023	257.92148	195.78926	133.55661	279.6516	230.12459	97.13749	139.74588	158.60272	110.61234	209.75674	202.7662	265.70786	226.671	163.92694	175.2665	232.60251	140.14566	214.30101	163.69688	227.63821	220.60258	176.39633	213.64973	220.87737	175.64058	239.67209	140.6806	69.05355	207.88176	119.519104	130.59521	217.79088	125.29259	75.582924	191.81413	236.02185	222.78413	146.37393	127.20209	147.018	187.81073	207.06631	78.28505	229.735	115.30744	232.26244	118.53971	159.85452	129.78653	162.13243
5	79.23032	173.1496	54.437073	179.4868	50.850716	0.0	131.49948	176.28247	174.57117	100.32298	126.75792	148.51239	148.81142	79.753334	135.33905	183.17867	131.11935	93.73568	78.32655	173.9395	170.9531	143.84183	151.1358	122.86626	173.40405	159.38983	179.013	182.45178	150.67401	217.52142	105.80631	193.83627	245.9846	141.0545	187.26698	202.16267	130.87936	73.07343	144.44637	83.44929	196.29102	117.324425	145.50969	124.70177	154.23795	201.96921	145.21198	98.047356	179.25046	146.00708	147.55766	243.02954	107.25832	137.50569	104.24017	79.33145	183.84416	117.075134	119.79807	119.73926	164.50671	186.15154	172.85371	210.11229	115.24094	148.69717	161.25269	220.35843	192.53023	227.0801	128.60881	245.23596	146.82396	207.6161	161.24835	160.38617	239.21492	185.7008	70.85649	132.28535	184.90366	65.70662	197.05247	158.07454	218.9457	231.65189	136.53528	209.70007	197.78053	108.56417	180.3382	156.51936	199.21593	180.78865	164.84058	206.84007	197.48164	195.16925	204.18379	174.1202	76.56332	207.9676	129.75644	169.25607	167.35107	115.674446	85.25034	202.65375	233.87444	184.19385	193.90034	133.69444	158.78056	155.1188	158.47508	122.75479	210.29048	139.11859	199.46895	75.741165	128.87714	102.07496	118.211
6	55.61417	221.93173	88.970146	263.1781	99.411896	131.49948	0.0	248.74664	215.31215	147.24628	220.85698	204.22675	208.3572	194.43257	154.26567	249.73105	201.05997	169.01428	168.80074	253.70277	262.689	165.23901	166.53702	223.90588	229.21909	134.12117	222.50443	197.2448	225.85547	230.75116	142.1599	268.52686	336.9699	230.37445	214.30615	257.39185	215.51497	121.07456	200.1318	176.82558	283.72513	171.94695	249.49115	172.61252	161.62634	256.22675	268.25473	226.60193	310.61356	200.83669	64.98794	283.02258	232.36043	244.96758	73.678986	197.74971	168.5371	89.25181	247.48192	224.40321	174.40576	296.6417	274.93585	289.4546	125.27231	127.882065	286.94962	284.8338	201.47841	222.02419	225.18187	363.39526	165.55261	325.52686	254.14905	85.748604	340.66153	312.8512	138.06284	140.81113	162.85011	180.80867	245.04433	274.92194	335.8753	317.6071	174.18639	226.70653	301.9334	191.45183	297.77756	120.1451	324.2227	289.35703	230.7572	217.0309	309.3247	125.293625	283.22943	68.21509	114.65886	182.48883	77.13651	104.5535	282.2604	158.92418	107.740135	234.71764	308.85364	253.76488	161.36937	162.50832	70.2118	225.36069	283.59174	91.23751	328.74405	93.98011	243.08315	159.07448	239.39125	193.00085	208.96529
7	201.30756	154.63168	215.22263	269.59445	180.83548	176.28247	248.74664	0.0	91.46448	113.29025	111.28746	125.94096	249.14015	129.05937	168.23647	91.36382	71.16549	134.32156	98.283966	132.86894	78.42724	319.62576	126.33469	73.157845	311.4218	246.75381	283.59085	263.5063	239.67763	119.40986	209.4739	294.24643	95.73855	183.1597	222.39023	266.6111	257.0284	187.36981	215.4703	193.74397	243.76538	244.12054	226.79736	198.26572	275.9735	209.26494	171.80766	191.40872	204.14166	64.36347	243.86584	102.58731	188.06082	243.90605	248.98929	220.6719	164.81924	281.9404	141.99097	98.277504	284.23352	137.62535	77.63421	106.62444	260.7797	243.91328	241.45377	69.731895	211.38278	139.91347	178.69116	161.29941	100.734245	277.90088	130.72925	310.62692	197.74228	195.75948	245.94293	173.89117	146.63484	153.6111	109.02051	169.07295	222.32784	190.06529	303.69354	168.46162	134.29642	133.12608	126.71872	303.26923	170.30345	305.82068	318.19028	170.27898	106.581566	226.15083	178.46736	241.97995	243.1444	215.67938	218.16689	196.60674	231.74733	122.93967	146.30908	72.12235	68.502785	213.75578	211.79941	295.53378	282.70618	318.69562	237.01077	178.10718	220.68272	180.47238	241.58054	219.92035	256.99805	262.2316	267.01813
8	178.40468	213.12262	205.75494	318.9081	153.98409	174.57117	215.31215	91.46448	0.0	78.29451	97.93549	61.65326	288.4709	132.81018	97.2198	52.884026	54.205765	98.6354	110.01052	97.37476	94.65012	303.5051	53.04265	106.145706	339.2987	178.13321	233.53812	196.44035	202.07741	147.22073	159.49826	261.29224	178.53877	151.34653	148.3044	213.13145	234.04187	201.46661	162.718	169.18385	212.03731	204.94145	211.65988	234.87234	221.18835	146.43225	186.93393	206.11394	246.55435	110.416046	188.3212	75.00473	228.60844	283.77457	210.12544	235.77689	177.49835	263.94983	184.04288	159.10188	306.8661	155.75314	158.94888	194.50069	268.6024	257.2129	260.72876	152.15176	251.25401	89.1508	233.45288	229.64381	97.975685	329.88535	205.16727	271.23926	282.28897	256.75226	243.00662	195.22069	116.131615	186.10017	175.26704	234.83684	294.7537	162.3121	309.62616	78.26246	218.46329	182.21616	198.71053	301.2901	211.74147	324.09247	299.78693	211.8447	170.37979	213.96227	255.09781	206.86433	218.453	237.01973	211.48154	149.45425	286.29935	152.31693	141.03023	82.24613	114.28706	275.79266	128.3497	264.56635	267.82288	325.61478	279.19836	127.07395	229.97179	160.84306	295.3052	239.5658	259.99872	258.6812	287.13116
9	103.14726	176.08743	127.46334	257.55258	78.14299	100.32298	147.24628	113.29025	78.29451	0.0	87.96942	73.209656	222.07164	87.93666	70.42587	104.7782	54.26073	53.183846	54.914707	119.42795	118.29519	229.35173	53.464245	91.09821	266.67245	137.85797	196.43695	168.59906	167.72325	153.40923	107.023605	226.18059	204.62825	131.5573	143.19997	196.21593	183.17754	128.90753	133.79184	116.029236	198.51323	151.58139	177.0314	172.27171	171.73647	157.12909	163.73694	156.963	218.69637	94.43739	133.21796	149.68655	175.17902	222.52725	139.997	170.78088	146.83699	186.8566	149.4504	125.29719	234.78032	164.46284	154.30505	189.42654	192.05069	189.59433	219.84856	169.38411	204.30081	130.57191	180.5915	237.35179	76.22029	281.17563	174.08592	202.11661	260.24213	226.44896	167.13124	138.93372	107.931816	124.87382	164.13141	197.69551	262.36554	189.98277	232.62556	121.05456	202.80243	131.54857	185.71043	224.7943	205.8602	267.0145	239.30017	184.70934	178.01295	170.86153	223.15314	154.95166	145.6148	196.73314	145.20674	113.94916	235.94865	102.82974	72.29018	117.83385	165.24838	226.89584	122.41143	198.60942	196.7823	254.06796	230.1433	72.710526	221.58301	108.233444	242.13675	166.65993	204.6615	191.72078	216.88855
